iso_code,continent,location,Totaldeaths,TotalTests,TotalVaccinations
USA,North America,United States,1121237.0,912769124.0,674666916.0
BRA,South America,Brazil,700556.0,37005491.0,460591607.0
IND,Asia,India,531000.0,838798638.0,2111885185.0
RUS,Europe,Russia,397642.0,156015815.0,152716447.0
MEX,North America,Mexico,333596.0,15569464.0,150702693.0
PER,South America,Peru,219866.0,,88789401.0
GBR,Europe,United Kingdom,212083.0,502482746.0,148570849.0
ITA,Europe,Italy,189262.0,224719845.0,143833810.0
DEU,Europe,Germany,171411.0,,192197041.0
FRA,Europe,France,162214.0,278234000.0,154419193.0
IDN,Asia,Indonesia,161071.0,51528978.0,330544770.0
IRN,Asia,Iran,145571.0,18074432.0,20588423.0
COL,South America,Colombia,142690.0,34044326.0,50290307.0
ARG,South America,Argentina,130472.0,36663990.0,115321823.0
CHN,Asia,China,120905.0,,3407595000.0
ESP,Europe,Spain,120426.0,93162168.0,62965910.0
POL,Europe,Poland,119423.0,,41483527.0
UKR,Europe,Ukraine,111789.0,13377389.0,31551877.0
ZAF,Africa,South Africa,102595.0,24811256.0,20014831.0
TUR,Asia,Turkey,101419.0,163164533.0,149899771.0
JPN,Asia,Japan,74110.0,53504941.0,383068480.0
ROU,Europe,Romania,67961.0,,16801198.0
PHL,Asia,Philippines,66420.0,27817521.0,55439750.0
CHL,South America,Chile,64497.0,39773213.0,62671925.0
CAN,North America,Canada,52121.0,62175498.0,96561101.0
HUN,Europe,Hungary,48719.0,10943720.0,8276404.0
VNM,Asia,Vietnam,43221.0,29193899.0,140207439.0
CZE,Europe,Czechia,42702.0,54587458.0,18621029.0
BGR,Europe,Bulgaria,38282.0,3430255.0,4407893.0
MYS,Asia,Malaysia,36982.0,60647556.0,72609148.0
GRC,Europe,Greece,36629.0,48561395.0,21211658.0
ECU,South America,Ecuador,36017.0,2855228.0,36284797.0
KOR,Asia,South Korea,34339.0,100269452.0,129580486.0
BEL,Europe,Belgium,34115.0,34315605.0,29629641.0
THA,Asia,Thailand,34000.0,24733803.0,127294606.0
PAK,Asia,Pakistan,30652.0,21077138.0,132235516.0
BGD,Asia,Bangladesh,29452.0,13820904.0,139281800.0
TUN,Africa,Tunisia,29363.0,1001807.0,8546870.0
PRT,Europe,Portugal,26480.0,42825406.0,
IRQ,Asia,Iraq,25375.0,12996351.0,26828.0
EGY,Africa,Egypt,24823.0,,2157499.0
SWE,Europe,Sweden,23897.0,18407585.0,
NLD,Europe,Netherlands,22992.0,30687346.0,
BOL,South America,Bolivia,22374.0,4438270.0,14565586.0
AUT,Europe,Austria,22183.0,188768459.0,
SVK,Europe,Slovakia,21123.0,51238482.0,
GTM,North America,Guatemala,20189.0,4067775.0,13495417.0
AUS,Oceania,Australia,19906.0,73363499.0,62460562.0
PRY,South America,Paraguay,19880.0,2597470.0,4149165.0
MMR,Asia,Myanmar,19490.0,4656460.0,3800.0
KAZ,Asia,Kazakhstan,19072.0,11792426.0,18655980.0
HRV,Europe,Croatia,18091.0,2726155.0,3815368.0
SRB,Europe,Serbia,17996.0,9852866.0,3264684.0
GEO,Asia,Georgia,17032.0,13652505.0,1455821.0
LKA,Asia,Sri Lanka,16841.0,7691045.0,33589253.0
BIH,Europe,Bosnia and Herzegovina,16328.0,1043518.0,93862.0
MAR,Africa,Morocco,16296.0,10487705.0,27409359.0
JOR,Asia,Jordan,14122.0,7567593.0,4276815.0
CHE,Europe,Switzerland,13981.0,21277734.0,16899886.0
ISR,Asia,Israel,12416.0,51780014.0,18608812.0
MDA,Europe,Moldova,12086.0,2560337.0,1336495.0
NPL,Asia,Nepal,12021.0,6402903.0,15749069.0
HND,North America,Honduras,11113.0,,229026.0
LBN,Asia,Lebanon,10874.0,237492.0,5134981.0
AZE,Asia,Azerbaijan,10197.0,1716435.0,10719068.0
MKD,Europe,North Macedonia,9667.0,799331.0,925842.0
LTU,Europe,Lithuania,9647.0,8718186.0,4536755.0
SAU,Asia,Saudi Arabia,9635.0,43251385.0,58060875.0
CRI,North America,Costa Rica,9326.0,3677525.0,
SVN,Europe,Slovenia,9230.0,5336373.0,2980936.0
FIN,Europe,Finland,9097.0,11038890.0,1254404.0
